Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Pakistan,"Computer, communications and other services (% of commercial service exports)",,,,,,,,,,,,,,,,,28.41296928,28.46630519,28.832,24.81891777,24.04881551,24.44083694,19.42987765,22.05434427,25.272856,23.55954247,25.18567691,26.99687651,34.13467089,30.43997579,27.32326944,24.27566816,24.59382781,33.08380133,29.80474595,33.38827276,40.08386422,32.99931505,34.81717011,31.53153153,24.75884244,25.85249802,36.36363636,31.37525916,31.3523814,34.10547068,34.41734417,33.72997712,33.61144219,37.62886598,37.80279768,36.96846977,43.3385273,49.65246298,47.94481982,52.21162186,57.94567918,67.4083886,68.67040548,65.86987103,72.75082841,75.60070827
Pakistan,Manufactures exports (% of merchandise exports),,,24.46519204,25.93569288,31.05304271,35.97481798,44.91885288,46.32247412,48.62932615,55.67646653,57.18666884,55.12792173,55.37407196,62.37392053,52.23777343,54.32636832,57.01875753,58.29530582,57.25971295,55.42296746,48.19089962,51.09600982,57.90603925,62.5069206,67.54726052,61.89036928,66.39121125,71.95185311,,,78.68288485,78.91777587,78.76052708,84.62436862,,82.96164871,83.77926445,85.98636833,83.90536671,84.13889951,84.68207243,84.8668935,85.5573458,85.04104651,85.23754949,81.70842546,81.24941297,79.40303687,72.90909613,76.29754578,73.96850457,71.21858348,75.06508434,73.54008159,74.52297153,75.91690097,78.12939773,77.07302874,73.95061898,73.94440265,74.6744848,75.3906826
Pakistan,Merchandise imports by the reporting economy (current US$),643700000,633800000,728100000,880400000,983800000,1035000000,899200000,1098000000,1048500000,1007270000,1101940000,915960000,666430000,973610000,1739910000,2129290000,2132650000,2451880000,3285270000,4060730000,5349540000,5631600000,5449980000,5326060000,5853800000,5888530000,5367240000,5818740000,6588440000,7107042632,7382994271,8431484302,9375038865,9492426589,8884515841,11460540302,12149836723,11611888416,9308164656,10297654327,10721945506,10165520155,11238129959,13048547930,17757673954,25410792603,29825753656,32593936237,42326566967,31645036424,37537025364,43578259281,43813262516,43775183218,47544888967,43989644700,46998269095,57286155555,60121163779,50006637594,45787704424,
Pakistan,Fuel imports (% of merchandise imports),,,8.426314778,7.044596185,5.583301703,3.319163745,5.983767677,5.701545448,6.575019551,6.273209502,6.490493724,8.68934345,7.7954297,8.100663092,13.80572734,17.90997022,18.18944483,15.79359436,18.90174757,16.79089406,26.95451781,27.82661515,30.89687597,28.34795753,24.76682991,24.33147025,14.22643679,17.61189004,,,20.78579014,17.83350885,16.28773959,17.00819879,,16.14645168,20.05437049,19.0992256,15.90285656,20.65520209,32.50705926,28.60807753,27.06128738,23.55055886,21.34492055,21.15961995,25.75695629,25.6231338,33.22580874,27.98226689,30.38560535,34.12870513,36.39660483,34.8300587,31.25920368,22.90267474,20.35988053,23.96826887,28.65417591,28.81432492,22.54428425,26.53245358
Pakistan,"Tariff rate, applied, simple mean, all products (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.26,,,45.83,24.54,24.05,20.34,17.37,16.98,16.17,14.72,14.86,14.97,14.06,14.72,14.79,14.39,14.14,14.65,13.63,12.73,12.55,,12.58,12.55,11.7,
Pakistan,"International tourism, expenditures for travel items (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446000000,795000000,353000000,357000000,184000000,250000000,252000000,255000000,925000000,1268000000,1280000000,1545000000,1593000000,1518000000,685000000,925000000,1130000000,1414000000,1083000000,1365000000,1658000000,1909000000,2197000000,1885000000,1652000000,848000000,
Pakistan,Completeness of birth registration (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,,,,,,33.6,,,,,42.2,,,
Pakistan,Sex ratio at birth (male births per female births),,,1.064,,,,,1.064,,,,,1.064,,,,,1.064,,,,,1.064,,,,,1.064,,,1.064,,1.064,,,,,1.08,,,,,1.096,,,,,1.086,1.086,1.086,1.087,1.087,1.087,1.087,1.087,1.087,1.087,1.087,1.087,1.087,1.087,
Pakistan,"Population ages 60-64, female (% of female population)",1.82706319,1.821764536,1.829211116,1.842966587,1.855987525,1.865235666,1.862797742,1.85944761,1.857496357,1.861161404,1.872242409,1.878569188,1.892265146,1.909574324,1.926189433,1.940083365,1.940382206,1.940721916,1.941946007,1.945926016,1.953507483,1.950351345,1.952330617,1.957310764,1.963334376,1.969688135,1.966243877,1.964278553,1.964155787,1.967224683,1.974200476,1.973153313,1.977779158,1.985881989,1.995321203,2.005271584,2.003021345,2.002727051,2.006349458,2.017536877,2.037691653,2.052214345,2.076449387,2.103682006,2.124747343,2.135066881,2.123733015,2.107463108,2.089787102,2.075111811,2.066143071,2.04994368,2.038325757,2.037211232,2.055045267,2.09562386,2.141180427,2.206416932,2.283503715,2.362307346,2.437113508,2.492385066
Pakistan,"Population ages 20-24, female (% of female population)",8.960273401,8.983714934,9.043695683,9.104646361,9.121885978,9.076682382,8.971258334,8.823844739,8.649140508,8.470722834,8.306215235,8.146957059,7.996886145,7.875918996,7.810938857,7.814995442,7.904045384,8.054788782,8.23799754,8.414351379,8.559293338,8.68150056,8.787299029,8.87534918,8.944661924,8.99196628,8.971503556,8.932675106,8.881426218,8.826149718,8.772906282,8.686267615,8.603263508,8.530027542,8.476425682,8.450791688,8.48031846,8.536528413,8.611340388,8.694959175,8.78178548,8.857193657,8.933690927,9.014135335,9.103714819,9.204849207,9.320163286,9.440392824,9.557781358,9.662190338,9.747218011,9.79891298,9.833572434,9.847760575,9.837975454,9.804116621,9.746749854,9.667334844,9.570620375,9.46422305,9.354855149,9.240607323
